# Dispensing classes — A DRAFT FOR A PHARMACIST TO CHECK, NOT A RULING.
#
# Nothing here has been applied. It exists so you are editing a list
# rather than typing one, and every line needs your eye before it goes
# near the database: you are the licensed professional, this was drafted
# by a language model, and a wrong class on a real medicine is precisely
# the harm the feature was built to prevent.
#
# The names below are taken from prisma/seed-data.ts, so they match the
# spellings actually in the catalogue — "Amoxicillin/Clavulanate", not
# "Amoxicillin + Clavulanic Acid". Anything you have added since the seed
# will not be here; run --report to see it.
#
#   DATABASE_URL="…" npm run classify:dispensing -- --report
#   DATABASE_URL="…" npm run classify:dispensing -- --apply prisma/dispensing-starter.csv
#   …then add --commit once the dry run reads correctly.
#
# Classes: POM (prescription required) · PHARMACY_ONLY (no prescription,
# but handed over by a pharmacist) · OTC (general sale).
#
# ---------------------------------------------------------------------
# GENERAL SALE — uncontroversial
# ---------------------------------------------------------------------
Paracetamol,OTC
Ibuprofen,OTC
Oral Rehydration Salts,OTC
Zinc Sulphate,OTC
Ferrous Sulphate,OTC
#
# ---------------------------------------------------------------------
# ANTIBIOTICS — prescription-only under PCN rules. The single biggest
# reason this feature exists: the ones routinely sold without a script,
# and the ones where that does the most harm.
# ---------------------------------------------------------------------
Amoxicillin,POM
Amoxicillin/Clavulanate,POM
Azithromycin,POM
Cefuroxime,POM
Ciprofloxacin,POM
Metronidazole,POM
#
# ---------------------------------------------------------------------
# LONG-TERM CONDITIONS — dosing is individual and getting it wrong is
# dangerous
# ---------------------------------------------------------------------
Amlodipine,POM
Lisinopril,POM
Losartan,POM
Nifedipine,POM
Metformin,POM
Glibenclamide,POM
Insulin Glargine,POM
Prednisolone,POM
Salbutamol,POM
#
# Not in the seed list, but visible in the live catalogue — an injectable
# for severe malaria, which is not a counter medicine anywhere. Check the
# spelling against --report before trusting this line.
Artesunate,POM
#
# ---------------------------------------------------------------------
# YOUR CALL — deliberately not assigned above.
#
# For these, formal classification and Nigerian counter practice do not
# agree, and settling that is a pharmacist's job, not a model's. Move a
# line up into the lists above with the class you want, or leave it here
# and the medicine stays silent — which is a perfectly good answer and
# the default the whole feature is built around.
#
#   Artemether/Lumefantrine  the ACT sold as Coartem, Lonart, Amatem.
#                            Sold widely without a script; whether the app
#                            should say POM is a policy decision about what
#                            you want it to encourage.
#   Diclofenac               stronger NSAID; some registers keep it POM.
#   Omeprazole               OTC in some markets, POM in others.
#   Cetirizine               antihistamine, commonly general sale.
#   Loratadine               same.
#   Chlorpheniramine         same, and widely sold loose.
#   Hyoscine Butylbromide    Buscopan; general sale in many markets.
#
# Add your decisions here:
